SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,355 1st St Unit S2704,San Francisco,CA,94105,2190000,2,2.0,,1408,,2004,,1555,,,,,https://www.redfin.com/CA/San-Francisco/355-1st-St-94105/unit-S2704/home/1521435,,,N,Y,37.7868803,-122.3934978
PAST SALE,,Condo/Co-op,355 1st St Unit S404,San Francisco,CA,94105,1116500,2,2.0,,1034,,2004,,1080,,,,,https://www.redfin.com/CA/San-Francisco/355-1st-St-94105/unit-S404/home/1657292,,,N,Y,37.7868803,-122.3934978
PAST SALE,,Single Family Residential,2067 Thomas Ave,San Francisco,CA,94124,970000,4,1.0,,1010,2500,1944,,960,,,,,https://www.redfin.com/CA/San-Francisco/2067-Thomas-Ave-94124/home/1971401,,,N,Y,37.7350133,-122.3998978
PAST SALE,,Condo/Co-op,303 Langton St #2,San Francisco,CA,94103,888000,2,1.0,,952,,1997,,933,,,,,https://www.redfin.com/CA/San-Francisco/303-Langton-St-94103/unit-2/home/12395998,,,N,Y,37.7737967,-122.4050489
PAST SALE,,Multi-Family (5+ Unit),338 Main St Unit 19H,San Francisco,CA,94105,1170000,1,1.0,,854,75406,2016,,1370,,,,,https://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-19H/home/109315476,,,N,Y,37.7886733,-122.3914178
PAST SALE,,Multi-Family (5+ Unit),3946-3948 26th St #3948,San Francisco,CA,94131,2400000,,4.0,,3992,5697,1900,,601,,,,,https://www.redfin.com/CA/San-Francisco/3946-3948-26th-St-94131/unit-3948/home/803858,,,N,Y,37.7486773,-122.4282054
PAST SALE,,Multi-Family (2-4 Unit),380-382 Day St #382,San Francisco,CA,94131,1075000,,2.0,,1620,2848,1908,,664,,,,,https://www.redfin.com/CA/San-Francisco/380-382-Day-St-94131/unit-382/home/810037,,,N,Y,37.7429015,-122.4305834
PAST SALE,,Condo/Co-op,215 Red Rock Way Unit 201J,San Francisco,CA,94131,550000,,1.0,,990,,1972,,556,,,,,https://www.redfin.com/CA/San-Francisco/215-Red-Rock-Way-94131/unit-201J/home/1951743,,,N,Y,37.7456525,-122.4423446
PAST SALE,,Single Family Residential,330 Woodside Ave,San Francisco,CA,94127,1180000,,1.0,,1131,2992,1948,,1043,,,,,https://www.redfin.com/CA/San-Francisco/330-Woodside-Ave-94127/home/2031621,,,N,Y,37.7454939,-122.4532038
PAST SALE,,Single Family Residential,560 Hill St,San Francisco,CA,94114,2989000,3,1.0,,1729,2848,1900,,1729,,,,,https://www.redfin.com/CA/San-Francisco/560-Hill-St-94114/home/1662323,,,N,Y,37.7555176,-122.4336963
